ID,ISBN,URL,Автор,В наличии,"Вес, г",Вид бумаги,Возраст,Возрастные ограничения,Герои,Год издания,Жанр,Издательство,Изображение,Иллюстратор,Категория,Количество страниц,Материал,Название,Назначение,Направление,Обложка,Описание,Оценка,Пол,Превью,Раздел,"Размер, см",Рисунок,Серия,Страна-производитель,Тематика,Тип,Упаковка,Формат,Цена,Цена (старая),Число отзывов,Число оценок,Эпоха,Язык
000033,978-5-389-03203-3,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/poeziya/000033-mnogo-shuma-iz-nichego,Уильям Шекспир,False,,,,,,2015,,Азбука,https://www.respublica.ru/uploads/00/00/00/cq/mq/large_19d8718b2a61bce7.jpg,,Книги; Художественная литература; Поэзия,224,,Много шума из ничего,,,Мягкая,"В настоящем издании под одной обложкой объединены две ""счастливые"" комедии великого английского драматурга Уильяма Шекспира - ""Много шума из ничего"" и ""Как вам это понравится"". В них, как и во всех комедиях Шекспира, царит дух поэзии, царит дух любви. Непревзойденный мастер лиризма, в своих произведениях Шекспир изобразил не только красоту любви, но и комизм поведения влюбленных. В предлагаемых вниманию читателя комедиях много фарсовых эпизодов, шутовских, игровых, но самое интересное в них - изображение причуд человеческого сердца, того, что можно назвать странностями любви. Надеемся, что прелесть шекспировского стиха и изящество его остроумной прозы не оставит читателя равнодушным и на этот раз.",,,,Зарубежные,,,,Россия,,,,11 х 18,100,140,,,,Русский
000056,978-5-389-03202-6,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/poeziya/000056-dvenadtsataya-noch,Уильям Шекспир,False,,,,,,2011,,Азбука,https://www.respublica.ru/uploads/01/00/00/24/fh/large_76d8994b05836531.jpg,,Книги; Художественная литература; Поэзия,192,,Двенадцатая ночь,,,Мягкая,"Перу великого английского драматурга Уильяма Шекспира принадлежит более десяти комедий. «Укрощение строптивой», «Сон в летнюю ночь», «Много шума из ничего», «Венецианский купец» — лишь часть из них. Сюжеты шекспировских комедий различны, но есть в них нечто общее — безудержное веселье, перемежающееся иногда и грустью, и незаурядные герои, которых роднит воля, острый ум, стремление к независимости и сокрушающее жизнелюбие. В настоящем издании представлена одна из самых жизнерадостных комедий Шекспира — «Двенадцатая ночь», комедия, которую правильнее было бы назвать романтической сказкой о прекрасной стране Иллирии, стране любви и веселых шуток, в которой любой ищущий любви непременно ее находит, хотя и не всегда там, где искал.",,,,Зарубежные,,,,Россия,,,,11 х 18,100,140,,,,Русский
021678,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021678-n-or-m,Agatha Christie,False,,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/ww/large_ede2374287dabb51.jpg,,Книги; Художественная литература; Книги на иностранных языках,304,,N or M?,,,Мягкая,"Tommy & Tuppence are hired to track down wartime spies at a seaside resort... It is World War II, and while the RAF struggles to keep the Luftwaffe at bay, Britain faces an even more sinister threat from `the enemy within' - Nazis posing as ordinary citizens. With pressure mounting, the Intelligence service appoints two unlikely spies, Tommy and Tuppence Beresford. Their mission: to seek out a man and a woman from among the colourful guests at Sans Souci, a seaside hotel. But this assignment is no stroll along the promenade. After all, N and M have just murdered Britain's finest agent...",,,,Зарубежные,,,,США,,,,10 х 17,610,,,,,Английский
021679,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021679-the-secret-adversary,Agatha Christie,False,,,,,,2011,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/x0/large_8be7c66991959813.jpg,,Книги; Художественная литература; Книги на иностранных языках,400,,The Secret Adversary,,,Мягкая,"Agatha Christie's first Tommy and Tuppence mystery adventure, reissued with a striking new cover designed to appeal to the latest generation of Agatha Christie fans and book lovers. Tommy and Tuppence, two young people short of money and restless for excitement, embark on a daring business scheme - Young Adventurers Ltd. Their advertisement says they are `willing to do anything, go anywhere'. But their first assignment, for the sinister Mr Whittington, plunges them into more danger than they ever imagined...",,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
021680,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021680-by-the-pricking-of-my-thumbs,Agatha Christie,False,,,,,,2011,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/68/wz/large_cc50d697c6b16407.jpg,,Книги; Художественная литература; Книги на иностранных языках,352,,By the Pricking of My Thumbs,,,Мягкая,"An old woman in a nursing home speaks of a child buried behind the fireplace... When Tommy and Tuppence visited an elderly aunt in her gothic nursing home, they thought nothing of her mistrust of the doctors; after all, Ada was a very difficult old lady. But when Mrs Lockett mentioned a poisoned mushroom stew and Mrs Lancaster talked about `something behind the fireplace', Tommy and Tuppence found themselves caught up in an unexpected adventure involving possible black magic...",,,,Зарубежные,,,,США,,,,11 х 17,510,610,,,,Английский
021681,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021681-partners-in-crime,Agatha Christie,False,,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/00/00/00/68/wy/large_2865e5cab83dae29.jpg,,Книги; Художественная литература; Книги на иностранных языках,352,,Partners in Crime,,,Мягкая,"Agatha Christie's complete Tommy and Tuppence short story collection, reissued with a striking new cover designed to appeal to the latest generation of Agatha Christie fans and book lovers. Tommy and Tuppence Beresford were restless for adventure, so when they were asked to take over Blunt's International Detective Agency, they leapt at the chance. After their triumphant recovery of a pink pearl, intriguing cases kept on coming their way: a stabbing on Sunningdale golf course; cryptic messages in the personal columns of newspapers; and even a box of poisoned chocolates.",,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
021700,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021700-evil-under-the-sun,Agatha Christie,True,,,,,,,,,https://www.respublica.ru/uploads/00/00/00/0p/48/large_8b7da3d133d0c739.jpg,,Книги; Художественная литература; Книги на иностранных языках,,,Evil Under the Sun,,,,"The beautiful bronzed body of Arlena Stuart lay face down on the beach. But strangely, there was no sun and Arlena was not sun-bathing... she had been strangled. Ever since Arlena's arrival the air had been thick with sexual tension. Each of the guests had a motive to kill her, including Arlena's new husband, but Hercule Poirot suspects that this apparent ""crime of passion"" conceals something much more evil.   

",,,,,,,,,,,,,540,,,,,
021702,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021702-the-murder-on-the-links,Agatha Christie,False,,,,,,2017,,HarperCollins,https://www.respublica.ru/uploads/01/00/00/68/x5/large_8bc241547886091e.jpg,,Книги; Художественная литература; Книги на иностранных языках,288,,The Murder on the Links,,,Мягкая,"On a French golf course, a millionaire is found stabbed in the back... An urgent cry for help brings Poirot to France. But he arrives too late to save his client, whose brutally stabbed body now lies face downwards in a shallow grave on a golf course. But why is the dead man wearing his son's overcoat? And who was the impassioned love-letter in the pocket for? Before Poirot can answer these questions, the case is turned upside down by the discovery of a second, identically murdered corpse...",,,,,,,,США,,,,13 x 20,639,,,,,
021703,,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021703-the-abc-murders,Agatha Christie,False,,,,,,2010,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/5d/db/large_6b10163ea6522dc3.jpg,,Книги; Художественная литература; Книги на иностранных языках,278,,The ABC Murders,,,Мягкая,"There's a serial killer on the loose, working his way through the alphabet and the whole country is in a state of panic. A is for Mrs Ascher in Andover, В is for Betty Barnard in Bexhill, С is for Sir Carmichael Clarke in Churston. With each murder, the killer is getting more confident - but leaving a trail of deliberate clues to taunt the proud Hercule Poirot might just prove to be the first, and fatal mistake... ",,,,Зарубежные,,,,США,,,,11 х 17,610,,,,,Английский
021706,978-0-00-711932-5,https://www.respublica.ru/knigi/hudozhestvennaya-literatura/knigi-na-inostrannyh-yazykah/021706-death-on-the-nile,Agatha Christie,False,,,,,,2001,Детектив,HarperCollins,https://www.respublica.ru/uploads/01/00/00/60/0t/large_65a98bc17133d68c.jpg,,Книги; Художественная литература; Книги на иностранных языках,416,,Death on the Nile,,,Мягкая,"The tranquillity of a cruise along the Nile was shattered by the discovery that Linnet Ridgeway had been shot through the head. She was young, stylish and beautiful. A girl who had everything... until she lost her life. Hercule Poirot recalled an earlier outburst by a fellow passenger: ""I'd like to put my dear little pistol against her head and just press the trigger"". Yet in this exotic setting nothing was ever quite what it seemed...",,,,Зарубежные,,,Poirot,США,,,,11 х 17,490,,,,,Английский
